post,sentiment,url,published_date,published_time,price_eth,compound
"Solana Rises As BlackRock Brings Its $1,700,000,000 Tokenized Treasury Fund to Ethereum Rival’s Chain",neutral,https://cryptopanic.com/news/20873101/Solana-Rises-As-BlackRock-Brings-Its-1700000000-Tokenized-Treasury-Fund-to-Ethereum-Rivals-Chain?mtm_campaign=API-OFA,25/03/2025,18:05:47,2066.15,0.2023
BlackRock Brings BUIDL Fund onto Solana,neutral,https://cryptopanic.com/news/20871567/BlackRock-Brings-BUIDL-Fund-onto-Solana?mtm_campaign=API-OFA,25/03/2025,13:18:15,2066.15,0.0
Trump-backed World Liberty Financial tests USD1 stablecoin on BNB Chain,neutral,https://cryptopanic.com/news/20867823/Trump-backed-World-Liberty-Financial-tests-USD1-stablecoin-on-BNB-Chain?mtm_campaign=API-OFA,24/03/2025,18:17:44,2081.2,0.5267
ETH may reclaim $2.2K ‘macro range’ amid growing whale accumulation,neutral,https://cryptopanic.com/news/20862813/ETH-may-reclaim-22K-macro-range-amid-growing-whale-accumulation?mtm_campaign=API-OFA,23/03/2025,13:28:47,2005.99,0.1779
Fidelity Joins Tokenized Asset Race with Ethereum-Based Treasury Fund,neutral,https://cryptopanic.com/news/20862772/Fidelity-Joins-Tokenized-Asset-Race-with-Ethereum-Based-Treasury-Fund?mtm_campaign=API-OFA,23/03/2025,13:15:00,2005.99,0.5106
"BlackRock, NYSE push for staked ETH ETFs – Why it matters",neutral,https://cryptopanic.com/news/20859354/BlackRock-NYSE-push-for-staked-ETH-ETFs-Why-it-matters?mtm_campaign=API-OFA,22/03/2025,3:00:25,1980.69,0.0258
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",neutral,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,21/03/2025,23:04:15,1965.75,0.0
Ethereum open interest hits new all-time high — Will ETH price follow?,neutral,https://cryptopanic.com/news/20858365/Ethereum-open-interest-hits-new-all-time-high-Will-ETH-price-follow?mtm_campaign=API-OFA,21/03/2025,19:08:51,1965.75,0.4588
BlackRock Says Staking Could Boost Ethereum ETFs,neutral,https://cryptopanic.com/news/20856966/BlackRock-Says-Staking-Could-Boost-Ethereum-ETFs?mtm_campaign=API-OFA,21/03/2025,13:48:11,1965.75,0.4019
"Staking for ether ETFs gathers steam as BlackRock talks up potential, NYSE files on behalf of Bitwise fund",neutral,https://cryptopanic.com/news/20853506/Staking-for-ether-ETFs-gathers-steam-as-BlackRock-talks-up-potential-NYSE-files-on-behalf-of-Bitwise-fund?mtm_campaign=API-OFA,20/03/2025,20:04:47,1983.79,0.0
Ethereum co-founder Joe Lubin on the future of Ethereum — DAS,neutral,https://cryptopanic.com/news/20853331/Ethereum-co-founder-Joe-Lubin-on-the-future-of-Ethereum-DAS?mtm_campaign=API-OFA,20/03/2025,19:24:00,1983.79,0.0
Ethereum’s stablecoin dominance grows as USDC and USDT drive $850 billion in volume,neutral,https://cryptopanic.com/news/20843400/Ethereums-stablecoin-dominance-grows-as-USDC-and-USDT-drive-850-billion-in-volume?mtm_campaign=API-OFA,18/03/2025,23:01:04,1931.54,0.2023
ETH price prospects dim as Ethereum DEX volumes drop 34% in a week,neutral,https://cryptopanic.com/news/20843230/ETH-price-prospects-dim-as-Ethereum-DEX-volumes-drop-34-in-a-week?mtm_campaign=API-OFA,18/03/2025,21:55:00,1931.54,0.0258
Vitalik: An Ethereum Story to Launch Globally on April 15th,neutral,https://cryptopanic.com/news/20836033/Vitalik-An-Ethereum-Story-to-Launch-Globally-on-April-15th?mtm_campaign=API-OFA,17/03/2025,13:37:47,1926.31,0.0
Ethereum's Level Of Dominance Has Fallen To Lows Not Seen Since 2020,neutral,https://cryptopanic.com/news/20832056/Ethereums-Level-Of-Dominance-Has-Fallen-To-Lows-Not-Seen-Since-2020?mtm_campaign=API-OFA,16/03/2025,11:45:21,1887.0,-0.3612
Trump-backed World Liberty Financial buys AVAX and MNT for $4M as total portfolio losses reach $118M,neutral,https://cryptopanic.com/news/20831805/Trump-backed-World-Liberty-Financial-buys-AVAX-and-MNT-for-4M-as-total-portfolio-losses-reach-118M?mtm_campaign=API-OFA,16/03/2025,9:24:40,1887.0,0.2023
Ethereum Is What Bitcoin Was Meant to Be,neutral,https://cryptopanic.com/news/21110810/Ethereum-Is-What-Bitcoin-Was-Meant-to-Be?mtm_campaign=API-OFA,16/04/2025,15:44:47,1577.14,0.0
Canada to approve SOL ETFs with staking functions as SEC postpones staking function for Grayscale spot ETH ETF,neutral,https://cryptopanic.com/news/21076936/Canada-to-approve-SOL-ETFs-with-staking-functions-as-SEC-postpones-staking-function-for-Grayscale-spot-ETH-ETF?mtm_campaign=API-OFA,14/04/2025,19:42:01,1623.77,-0.2732
"Solana rallies 20% against Ethereum, but is $300 SOL price within reach?",neutral,https://cryptopanic.com/news/21072668/Solana-rallies-20-against-Ethereum-but-is-300-SOL-price-within-reach?mtm_campaign=API-OFA,14/04/2025,14:42:35,1623.77,0.0387
MegaETH: Supercharging Ethereum for the Real-Time Internet Era,neutral,https://cryptopanic.com/news/20957348/MegaETH-Supercharging-Ethereum-for-the-Real-Time-Internet-Era?mtm_campaign=API-OFA,08/04/2025,8:25:25,1473.41,0.0
‘Ethereum Has Long-Term Potential’: Why Experts Believe in ETH Price Recovery,neutral,https://cryptopanic.com/news/20925970/Ethereum-Has-Long-Term-Potential-Why-Experts-Believe-in-ETH-Price-Recovery?mtm_campaign=API-OFA,04/04/2025,13:56:53,1816.87,0.0
Ethereum developers aim for May 7 mainnet deployment of Pectra upgrade,neutral,https://cryptopanic.com/news/20921035/Ethereum-developers-aim-for-May-7-mainnet-deployment-of-Pectra-upgrade?mtm_campaign=API-OFA,04/04/2025,5:04:42,1816.87,0.0
"Ethereum whales accumulate 130,000 ETH amid price drop",neutral,https://cryptopanic.com/news/20917718/Ethereum-whales-accumulate-130000-ETH-amid-price-drop?mtm_campaign=API-OFA,03/04/2025,18:30:54,1817.23,-0.2732
Cosmos devs test IBC protocol between Hub and Ethereum to boost interoperability,neutral,https://cryptopanic.com/news/20880880/Cosmos-devs-test-IBC-protocol-between-Hub-and-Ethereum-to-boost-interoperability?mtm_campaign=API-OFA,27/03/2025,8:02:58,2003.66,0.4019
"USDC stablecoin supply surpasses all-time high, topping $60 billion market cap",positive,https://cryptopanic.com/news/20875357/USDC-stablecoin-supply-surpasses-all-time-high-topping-60-billion-market-cap?mtm_campaign=API-OFA,26/03/2025,7:26:38,2009.52,0.0
BlackRock Brings BUIDL Fund onto Solana,neutral,https://cryptopanic.com/news/20871567/BlackRock-Brings-BUIDL-Fund-onto-Solana?mtm_campaign=API-OFA,25/03/2025,13:18:15,2066.15,0.0
Ethereum’s stablecoin dominance grows as USDC and USDT drive $850 billion in volume,neutral,https://cryptopanic.com/news/20843400/Ethereums-stablecoin-dominance-grows-as-USDC-and-USDT-drive-850-billion-in-volume?mtm_campaign=API-OFA,18/03/2025,23:01:04,1931.54,0.2023
83% of institutions plan to up crypto allocations in 2025: Coinbase,neutral,https://cryptopanic.com/news/20842762/83-of-institutions-plan-to-up-crypto-allocations-in-2025-Coinbase?mtm_campaign=API-OFA,18/03/2025,19:29:31,1931.54,0.0
Ethereum's Level Of Dominance Has Fallen To Lows Not Seen Since 2020,neutral,https://cryptopanic.com/news/20832056/Ethereums-Level-Of-Dominance-Has-Fallen-To-Lows-Not-Seen-Since-2020?mtm_campaign=API-OFA,16/03/2025,11:45:21,1887.0,-0.3612
SEC considers classifying XRP as commodity in settlement talks with Ripple,neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,13/03/2025,17:53:17,1864.59,0.0
"BTC, ETH, XRP Lead $334.99M Crypto Liquidation, Key Trends To Watch?",neutral,https://cryptopanic.com/news/20801596/BTC-ETH-XRP-Lead-33499M-Crypto-Liquidation-Key-Trends-To-Watch?mtm_campaign=API-OFA,09/03/2025,16:36:00,2020.41,0.0
Ethereum Whales Accumulate Millions of Tokens: ETH Price Surge on the Way?,neutral,https://cryptopanic.com/news/20795384/Ethereum-Whales-Accumulate-Millions-of-Tokens-ETH-Price-Surge-on-the-Way?mtm_campaign=API-OFA,07/03/2025,14:30:12,2141.6,0.0
"Bybit Hackers Close to Laundering Stolen Funds, Criticism Mounts Over Delayed Response",neutral,https://cryptopanic.com/news/20771614/Bybit-Hackers-Close-to-Laundering-Stolen-Funds-Criticism-Mounts-Over-Delayed-Response?mtm_campaign=API-OFA,03/03/2025,8:31:05,2149.01,-0.7906
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,02/03/2025,19:31:52,2518.11,0.0
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",neutral,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,02/03/2025,17:20:45,2518.11,-0.128
Trump says Bitcoin and Ethereum will be included in US crypto reserve,neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,02/03/2025,16:46:55,2518.11,0.0
BlackRock moves $441 million in Bitcoin to Coinbase in the past hour,negative,https://cryptopanic.com/news/20756495/BlackRock-moves-441-million-in-Bitcoin-to-Coinbase-in-the-past-hour?mtm_campaign=API-OFA,27/02/2025,12:28:47,2307.72,0.0
WikiLeaks receives 711 ETH donation that warns of ‘mind control chips’,neutral,https://cryptopanic.com/news/20708912/WikiLeaks-receives-711-ETH-donation-that-warns-of-mind-control-chips?mtm_campaign=API-OFA,17/02/2025,18:29:29,2744.05,-0.1027
Solana Outpacing Ethereum in Transaction Fees: Details,neutral,https://cryptopanic.com/news/20697935/Solana-Outpacing-Ethereum-in-Transaction-Fees-Details?mtm_campaign=API-OFA,14/02/2025,15:25:00,2725.95,0.0
"Billions in Bitcoin and Ethereum Options Expire, Market Braces for Volatility",neutral,https://cryptopanic.com/news/20695829/Billions-in-Bitcoin-and-Ethereum-Options-Expire-Market-Braces-for-Volatility?mtm_campaign=API-OFA,14/02/2025,8:20:04,2725.95,0.0
Hong Kong Approves Bitcoin and Ethereum for Investment Immigration,neutral,https://cryptopanic.com/news/20673803/Hong-Kong-Approves-Bitcoin-and-Ethereum-for-Investment-Immigration?mtm_campaign=API-OFA,10/02/2025,8:31:14,2661.19,0.4019
BlackRock Silently Buying Ethereum—Why Are We Scared?,neutral,https://cryptopanic.com/news/20670198/BlackRock-Silently-Buying-EthereumWhy-Are-We-Scared?mtm_campaign=API-OFA,09/02/2025,1:30:00,2627.18,-0.4404
Cboe Seeks SEC Approval for Ethereum ETF Options Amid Rising Demand,neutral,https://cryptopanic.com/news/20657241/Cboe-Seeks-SEC-Approval-for-Ethereum-ETF-Options-Amid-Rising-Demand?mtm_campaign=API-OFA,06/02/2025,8:40:02,2686.64,0.3818
"Cboe Pushes SEC for In-Kind Bitcoin, Ethereum ETF Changes",neutral,https://cryptopanic.com/news/20614626/Cboe-Pushes-SEC-for-In-Kind-Bitcoin-Ethereum-ETF-Changes?mtm_campaign=API-OFA,28/01/2025,8:33:41,3077.72,0.0
"Ethereum Aims to Position ETH as the Cryptocurrency for Wall Street, According to Bloomberg",neutral,https://cryptopanic.com/news/20595492/Ethereum-Aims-to-Position-ETH-as-the-Cryptocurrency-for-Wall-Street-According-to-Bloomberg?mtm_campaign=API-OFA,23/01/2025,16:26:33,3338.21,0.0
"Cathie Wood won’t invest in Trump coin, will stick to the ‘big three’",neutral,https://cryptopanic.com/news/20592901/Cathie-Wood-wont-invest-in-Trump-coin-will-stick-to-the-big-three?mtm_campaign=API-OFA,23/01/2025,9:01:12,3338.21,0.0
Ethereum Launches Etherealize to Bridge Blockchain and Finance,neutral,https://cryptopanic.com/news/20592630/Ethereum-Launches-Etherealize-to-Bridge-Blockchain-and-Finance?mtm_campaign=API-OFA,23/01/2025,8:14:44,3338.21,0.0
"Ethereum Price Prediction: Bullish Outlook Could Push ETH to $14,000",neutral,https://cryptopanic.com/news/20580890/Ethereum-Price-Prediction-Bullish-Outlook-Could-Push-ETH-to-14000?mtm_campaign=API-OFA,21/01/2025,10:00:07,3327.54,0.0
"Ethereum Foundation Weighs Staking to Fund Operations, Says Buterin",neutral,https://cryptopanic.com/news/20580486/Ethereum-Foundation-Weighs-Staking-to-Fund-Operations-Says-Buterin?mtm_campaign=API-OFA,21/01/2025,8:42:22,3327.54,0.0
TRUMP memecoin helps SOL price beat Ethereum — Solana&#039;s TVL jumps to $12B,neutral,https://cryptopanic.com/news/20576251/TRUMP-memecoin-helps-SOL-price-beat-Ethereum-Solana039s-TVL-jumps-to-12B?mtm_campaign=API-OFA,20/01/2025,13:20:03,3284.0,0.3818
Solana (SOL) Dominates Ethereum (ETH): Volatility Skyrockets,neutral,https://cryptopanic.com/news/20571383/Solana-SOL-Dominates-Ethereum-ETH-Volatility-Skyrockets?mtm_campaign=API-OFA,19/01/2025,9:20:00,3215.12,0.0516
Sony Just Launched an Ethereum Network—Will It Get PlayStation Games?,neutral,https://cryptopanic.com/news/20566919/Sony-Just-Launched-an-Ethereum-NetworkWill-It-Get-PlayStation-Games?mtm_campaign=API-OFA,17/01/2025,20:23:12,3473.63,0.128
"$3B in Bitcoin, Ethereum Options Expire as Trump Era Begins",neutral,https://cryptopanic.com/news/20563473/3B-in-Bitcoin-Ethereum-Options-Expire-as-Trump-Era-Begins?mtm_campaign=API-OFA,17/01/2025,8:45:01,3473.63,0.0
"Sony Group Launches Soneium Mainnet, Says Layer-2 Blockchain Aims To Unlock New Possibilities for Creators",positive,https://cryptopanic.com/news/20554578/Sony-Group-Launches-Soneium-Mainnet-Says-Layer-2-Blockchain-Aims-To-Unlock-New-Possibilities-for-Creators?mtm_campaign=API-OFA,15/01/2025,15:30:45,3451.52,0.0
"Ethereum Price Eyes $4,811 And $8,550 Targets After Breakout",neutral,https://cryptopanic.com/news/20540631/Ethereum-Price-Eyes-4811-And-8550-Targets-After-Breakout?mtm_campaign=API-OFA,13/01/2025,0:22:00,3137.51,0.0
Pudgy Penguins Solana Token and Ethereum NFTs Rising Ahead of Abstract Network Launch,neutral,https://cryptopanic.com/news/20512657/Pudgy-Penguins-Solana-Token-and-Ethereum-NFTs-Rising-Ahead-of-Abstract-Network-Launch?mtm_campaign=API-OFA,06/01/2025,18:31:08,3687.45,0.0
Vitalik Buterin Warns: Superintelligent AI Could Arrive Sooner Than Expected,neutral,https://cryptopanic.com/news/20509832/Vitalik-Buterin-Warns-Superintelligent-AI-Could-Arrive-Sooner-Than-Expected?mtm_campaign=API-OFA,06/01/2025,8:33:43,3687.45,-0.1027
Grayscale Predicts Smart Contracts to Lead Crypto Market in 2025,positive,https://cryptopanic.com/news/20490390/Grayscale-Predicts-Smart-Contracts-to-Lead-Crypto-Market-in-2025?mtm_campaign=API-OFA,31/12/2024,9:46:39,3337.78,0.4019
"Bitcoin ETFs Face $1.2B Outflows, Ethereum Sees $130M Inflows",neutral,https://cryptopanic.com/news/20471491/Bitcoin-ETFs-Face-12B-Outflows-Ethereum-Sees-130M-Inflows?mtm_campaign=API-OFA,25/12/2024,12:22:00,3497.0,0.0
Hyperliquid Denies Being Hacked by Lazarus Group,neutral,https://cryptopanic.com/news/20467293/Hyperliquid-Denies-Being-Hacked-by-Lazarus-Group?mtm_campaign=API-OFA,24/12/2024,8:29:35,3493.18,-0.6705
Bitcoin and Ethereum Face $2.6B Options Expiry,neutral,https://cryptopanic.com/news/20446594/Bitcoin-and-Ethereum-Face-26B-Options-Expiry?mtm_campaign=API-OFA,20/12/2024,8:29:08,3472.21,0.0
"Layer-1 Blockchain Avalanche (AVAX) Announces $250,000,000 Token Sale Ahead of Upcoming Upgrade",neutral,https://cryptopanic.com/news/20404600/Layer-1-Blockchain-Avalanche-AVAX-Announces-250000000-Token-Sale-Ahead-of-Upcoming-Upgrade?mtm_campaign=API-OFA,13/12/2024,21:00:20,3906.8,0.0
Solana Surpasses Ethereum in New Developer Onboarding for 2024,positive,https://cryptopanic.com/news/20404346/Solana-Surpasses-Ethereum-in-New-Developer-Onboarding-for-2024?mtm_campaign=API-OFA,13/12/2024,19:40:10,3906.8,0.0
Electric Capital: ‘Solana Is the #1 Ecosystem for New Developers in 2024 and Grew 83% YoY’,positive,https://cryptopanic.com/news/20402986/Electric-Capital-Solana-Is-the-1-Ecosystem-for-New-Developers-in-2024-and-Grew-83-YoY?mtm_campaign=API-OFA,13/12/2024,13:01:01,3906.8,0.0
Solana overthrows Ethereum’s 8-year reign as top ecosystem for new devs,positive,https://cryptopanic.com/news/20401263/Solana-overthrows-Ethereums-8-year-reign-as-top-ecosystem-for-new-devs?mtm_campaign=API-OFA,13/12/2024,3:37:32,3906.8,0.2023
Solana outpaces Ethereum in attracting new crypto developers in 2024,positive,https://cryptopanic.com/news/20399641/Solana-outpaces-Ethereum-in-attracting-new-crypto-developers-in-2024?mtm_campaign=API-OFA,12/12/2024,18:00:37,3881.61,0.4767
Bitcoin and Ethereum ETFs Break Records Amid Price Surges,neutral,https://cryptopanic.com/news/20382358/Bitcoin-and-Ethereum-ETFs-Break-Records-Amid-Price-Surges?mtm_campaign=API-OFA,09/12/2024,8:59:06,3712.0,0.0
Trump’s crypto czar is Solana bull and Multicoin Capital investor,neutral,https://cryptopanic.com/news/20373570/Trumps-crypto-czar-is-Solana-bull-and-Multicoin-Capital-investor?mtm_campaign=API-OFA,06/12/2024,10:59:12,3998.87,0.0
Ethereum Set for Major Gains as Strong Fundamentals and Institutional Interest Surge,positive,https://cryptopanic.com/news/20369007/Ethereum-Set-for-Major-Gains-as-Strong-Fundamentals-and-Institutional-Interest-Surge?mtm_campaign=API-OFA,05/12/2024,12:00:47,3785.2,0.8271
"Will Ether Breakthrough $4,000? Traders Remain Cautious",neutral,https://cryptopanic.com/news/20345878/Will-Ether-Breakthrough-4000-Traders-Remain-Cautious?mtm_campaign=API-OFA,29/11/2024,14:45:09,3592.21,-0.1027
"Solana Reports $4 Billion Inflows, Hits $240; Generates $2.33M in Royalties and $200M in Fees, Surpassing Ethereum",neutral,https://cryptopanic.com/news/20343227/Solana-Reports-4-Billion-Inflows-Hits-240-Generates-233M-in-Royalties-and-200M-in-Fees-Surpassing-Ethereum?mtm_campaign=API-OFA,28/11/2024,22:35:59,3578.79,0.0
Solana Hits $100B DEX Trading Milestone,neutral,https://cryptopanic.com/news/20322603/Solana-Hits-100B-DEX-Trading-Milestone?mtm_campaign=API-OFA,26/11/2024,8:52:43,3324.73,0.0
"Solana Achieves $110B DEX Volume in November, Outpacing Ethereum",neutral,https://cryptopanic.com/news/20316896/Solana-Achieves-110B-DEX-Volume-in-November-Outpacing-Ethereum?mtm_campaign=API-OFA,25/11/2024,15:04:22,3414.49,0.0
Solana Skyrockets: Spot ETF Filings Surge Amid Pro-Crypto Regulatory Shift!,neutral,https://cryptopanic.com/news/20308682/Solana-Skyrockets-Spot-ETF-Filings-Surge-Amid-Pro-Crypto-Regulatory-Shift?mtm_campaign=API-OFA,24/11/2024,11:00:54,3361.2,0.0
Highly Anticipated Spot Solana ETFs Will Be Approved in 2025,positive,https://cryptopanic.com/news/20307549/Highly-Anticipated-Spot-Solana-ETFs-Will-Be-Approved-in-2025?mtm_campaign=API-OFA,24/11/2024,5:46:29,3361.2,0.4215
MetaMask Launches Gasless Swaps Feature,neutral,https://cryptopanic.com/news/20304328/MetaMask-Launches-Gasless-Swaps-Feature?mtm_campaign=API-OFA,23/11/2024,10:48:07,3393.91,0.0
"Ethereum Upgrades Could Boost Scalability, Payments Role: Binance",neutral,https://cryptopanic.com/news/21177574/Ethereum-Upgrades-Could-Boost-Scalability-Payments-Role-Binance?mtm_campaign=API-OFA,19/04/2025,19:44:08,1613.27,0.4019
Ethereum’s Next Big Move: 3 Bullish Signals That Could Skyrocket ETH,positive,https://cryptopanic.com/news/21173642/Ethereums-Next-Big-Move-3-Bullish-Signals-That-Could-Skyrocket-ETH?mtm_campaign=API-OFA,19/04/2025,11:34:15,1613.27,0.0
Massive Ethereum (ETH) Price Crash to $800 Predicted by Legendary Trader Brandt,positive,https://cryptopanic.com/news/21171082/Massive-Ethereum-ETH-Price-Crash-to-800-Predicted-by-Legendary-Trader-Brandt?mtm_campaign=API-OFA,19/04/2025,8:16:00,1613.27,-0.4019
Galaxy Digital Moves $100 Million in Ethereum: Strategic Shift or Sell-Off Signal?,neutral,https://cryptopanic.com/news/21151619/Galaxy-Digital-Moves-100-Million-in-Ethereum-Strategic-Shift-or-Sell-Off-Signal?mtm_campaign=API-OFA,18/04/2025,9:13:19,1588.6,0.0
Ethereum (ETH) ETFs Show Zero Performance,neutral,https://cryptopanic.com/news/21150506/Ethereum-ETH-ETFs-Show-Zero-Performance?mtm_campaign=API-OFA,18/04/2025,8:56:00,1588.6,0.0
"Secret Service, Canadian Officials Disrupt $4.3M Ethereum “Approval Phishing” Scam",negative,https://cryptopanic.com/news/21126365/Secret-Service-Canadian-Officials-Disrupt-43M-Ethereum-Approval-Phishing-Scam?mtm_campaign=API-OFA,17/04/2025,11:22:57,1583.62,-0.5719
Ethereum Dominance Hits 5 Year Low — Analysts Say It’s the Perfect Entry Point,positive,https://cryptopanic.com/news/21123915/Ethereum-Dominance-Hits-5-Year-Low-Analysts-Say-Its-the-Perfect-Entry-Point?mtm_campaign=API-OFA,17/04/2025,9:35:09,1583.62,0.5267
Family offices show stronger preference for Ethereum ETFs over Bitcoin,neutral,https://cryptopanic.com/news/21115646/Family-offices-show-stronger-preference-for-Ethereum-ETFs-over-Bitcoin?mtm_campaign=API-OFA,16/04/2025,21:30:10,1577.14,0.3818
Trump Ethereum DeFi Project Gets Another Big Investment,neutral,https://cryptopanic.com/news/21114081/Trump-Ethereum-DeFi-Project-Gets-Another-Big-Investment?mtm_campaign=API-OFA,16/04/2025,19:18:00,1577.14,0.0
Ethereum Is What Bitcoin Was Meant to Be,neutral,https://cryptopanic.com/news/21110810/Ethereum-Is-What-Bitcoin-Was-Meant-to-Be?mtm_campaign=API-OFA,16/04/2025,15:44:47,1577.14,0.0
Canada to approve SOL ETFs with staking functions as SEC postpones staking function for Grayscale spot ETH ETF,neutral,https://cryptopanic.com/news/21076936/Canada-to-approve-SOL-ETFs-with-staking-functions-as-SEC-postpones-staking-function-for-Grayscale-spot-ETH-ETF?mtm_campaign=API-OFA,14/04/2025,19:42:01,1623.77,-0.2732
"'Ethereum Is Worthless Junk,' Says Legendary Trader Peter Brandt",neutral,https://cryptopanic.com/news/21074650/Ethereum-Is-Worthless-Junk-Says-Legendary-Trader-Peter-Brandt?mtm_campaign=API-OFA,14/04/2025,16:24:00,1623.77,-0.4404
"Solana rallies 20% against Ethereum, but is $300 SOL price within reach?",neutral,https://cryptopanic.com/news/21072668/Solana-rallies-20-against-Ethereum-but-is-300-SOL-price-within-reach?mtm_campaign=API-OFA,14/04/2025,14:42:35,1623.77,0.0387
Vitalik Buterin Says “Good Social Philosophy” is Needed for the Upper Layers of Ethereum,positive,https://cryptopanic.com/news/21072124/Vitalik-Buterin-Says-Good-Social-Philosophy-is-Needed-for-the-Upper-Layers-of-Ethereum?mtm_campaign=API-OFA,14/04/2025,14:07:43,1623.77,0.0
"Ethereum Price Eyes $2,000 Breakout, Stablecoin Activity Hits All-Time High",positive,https://cryptopanic.com/news/21051549/Ethereum-Price-Eyes-2000-Breakout-Stablecoin-Activity-Hits-All-Time-High?mtm_campaign=API-OFA,13/04/2025,1:00:00,1597.76,0.0
"On-Chain Indicator Suggests Ethereum (ETH) Could Be Undervalued, According to Crypto Analyst",neutral,https://cryptopanic.com/news/21050521/On-Chain-Indicator-Suggests-Ethereum-ETH-Could-Be-Undervalued-According-to-Crypto-Analyst?mtm_campaign=API-OFA,12/04/2025,20:00:59,1644.18,0.0
Vitalik Buterin Unveils Roadmap for Improving Privacy on Ethereum,neutral,https://cryptopanic.com/news/21039672/Vitalik-Buterin-Unveils-Roadmap-for-Improving-Privacy-on-Ethereum?mtm_campaign=API-OFA,11/04/2025,20:48:57,1566.85,0.4215
ETH/BTC Collapse Isn’t the End: Analyst Sees Silent Rebuild,neutral,https://cryptopanic.com/news/21033208/ETHBTC-Collapse-Isnt-the-End-Analyst-Sees-Silent-Rebuild?mtm_campaign=API-OFA,11/04/2025,13:04:59,1566.85,-0.4939
Ether ETF staking could come as soon as May — Bloomberg analyst,neutral,https://cryptopanic.com/news/21022207/Ether-ETF-staking-could-come-as-soon-as-May-Bloomberg-analyst?mtm_campaign=API-OFA,10/04/2025,17:42:35,1522.25,0.0
"Nasdaq Files to List VanEck Avalanche ETF, Bringing AVAX Closer to Mainstream",neutral,https://cryptopanic.com/news/21020572/Nasdaq-Files-to-List-VanEck-Avalanche-ETF-Bringing-AVAX-Closer-to-Mainstream?mtm_campaign=API-OFA,10/04/2025,16:11:13,1522.25,0.0
"Crypto Market Rises Sharply, but Experts Warn it May Be a ‘Dead Cat Bounce’",negative,https://cryptopanic.com/news/21019505/Crypto-Market-Rises-Sharply-but-Experts-Warn-it-May-Be-a-Dead-Cat-Bounce?mtm_campaign=API-OFA,10/04/2025,15:12:43,1522.25,-0.1531
SEC approves options on spot Ether ETFs,neutral,https://cryptopanic.com/news/21002525/SEC-approves-options-on-spot-Ether-ETFs?mtm_campaign=API-OFA,09/04/2025,21:19:08,1669.51,0.4019
SEC Approves Options Trading on Spot $ETH ETFs,neutral,https://cryptopanic.com/news/21001801/SEC-Approves-Options-Trading-on-Spot-ETH-ETFs?mtm_campaign=API-OFA,09/04/2025,20:30:40,1669.51,0.4019
Trump-linked WLFI dumps Ethereum at 55% loss amid crypto market turmoil,neutral,https://cryptopanic.com/news/20988705/Trump-linked-WLFI-dumps-Ethereum-at-55-loss-amid-crypto-market-turmoil?mtm_campaign=API-OFA,09/04/2025,10:12:10,1669.51,-0.7579
Ethereum (ETH) Whales Capitulate: Is It Over?,neutral,https://cryptopanic.com/news/20988010/Ethereum-ETH-Whales-Capitulate-Is-It-Over?mtm_campaign=API-OFA,09/04/2025,9:47:00,1669.51,0.0
ETH/BTC Somehow Keeps Plunging Even Lower,neutral,https://cryptopanic.com/news/20974969/ETHBTC-Somehow-Keeps-Plunging-Even-Lower?mtm_campaign=API-OFA,08/04/2025,20:48:08,1473.41,-0.296
XRP Will Overtake Ethereum By 2028: Standard Chartered,neutral,https://cryptopanic.com/news/20964396/XRP-Will-Overtake-Ethereum-By-2028-Standard-Chartered?mtm_campaign=API-OFA,08/04/2025,12:26:16,1473.41,0.0
MegaETH: Supercharging Ethereum for the Real-Time Internet Era,neutral,https://cryptopanic.com/news/20957348/MegaETH-Supercharging-Ethereum-for-the-Real-Time-Internet-Era?mtm_campaign=API-OFA,08/04/2025,8:25:25,1473.41,0.0
ETH Drops to 2-Year Lows Amid Crypto Selloff,neutral,https://cryptopanic.com/news/20954761/ETH-Drops-to-2-Year-Lows-Amid-Crypto-Selloff?mtm_campaign=API-OFA,07/04/2025,18:57:00,1553.04,-0.2023
Ethereum Whales Scoop Up $60M as ETH Price Tumbles to 2023 Lows,neutral,https://cryptopanic.com/news/20952800/Ethereum-Whales-Scoop-Up-60M-as-ETH-Price-Tumbles-to-2023-Lows?mtm_campaign=API-OFA,07/04/2025,17:49:30,1553.04,-0.0516
