post,sentiment,url,published_date,published_time,price_eth,confidence,sentiment_label,sentiment_score
"BTC, ETH, XRP Lead $334.99M Crypto Liquidation, Key Trends To Watch?",Neutral,https://cryptopanic.com/news/20801596/BTC-ETH-XRP-Lead-33499M-Crypto-Liquidation-Key-Trends-To-Watch?mtm_campaign=API-OFA,3/9/2025,16:36:00,2603.84,0.998839676,Neutral,0.598916709
Ethereum Price Bottom? $1.8B ETH Outflow Sparks Market Speculation,Neutral,https://cryptopanic.com/news/20806624/Ethereum-Price-Bottom-18B-ETH-Outflow-Sparks-Market-Speculation?mtm_campaign=API-OFA,3/10/2025,19:41:00,1865.1,0.564483762,Neutral,0.579146385
1.1M in ETH: What Are Ethereum Whales Preparing For?,Neutral,https://cryptopanic.com/news/20805000/11M-in-ETH-What-Are-Ethereum-Whales-Preparing-For?mtm_campaign=API-OFA,3/10/2025,13:51:41,1865.1,0.999993205,Bullish,0.538725495
"Ethereum Double Trouble: ETH Prices Fall Below $1,800 Price Crash Amid Testnet Attack",Negative,https://cryptopanic.com/news/20808582/Ethereum-Double-Trouble-ETH-Prices-Fall-Below-1800-Price-Crash-Amid-Testnet-Attack?mtm_campaign=API-OFA,3/11/2025,7:54:43,1923.43,0.997336566,Bullish,0.511893511
"Ethereum Double Trouble: ETH Prices Fall Below $1,800 Price Crash Amid Testnet Attack",Negative,https://cryptopanic.com/news/20808582/Ethereum-Double-Trouble-ETH-Prices-Fall-Below-1800-Price-Crash-Amid-Testnet-Attack?mtm_campaign=API-OFA,3/11/2025,7:54:43,1923.43,0.997336566,Bullish,0.511893511
SEC considers classifying XRP as commodity in settlement talks with Ripple,Neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,3/13/2025,17:53:17,1864.59,0.999927282,Neutral,0.822969854
SEC considers classifying XRP as commodity in settlement talks with Ripple,Neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,3/13/2025,17:53:17,1864.59,0.999927282,Neutral,0.822969854
SEC considers classifying XRP as commodity in settlement talks with Ripple,Neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,3/13/2025,17:53:17,1864.59,0.999927282,Neutral,0.822969854
SEC considers classifying XRP as commodity in settlement talks with Ripple,Neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,3/13/2025,17:53:17,2603.84,0.999927282,Neutral,0.822969854
Ethereum Devs Prep Another Testnet for Pectra Upgrade,Neutral,https://cryptopanic.com/news/20827633/Ethereum-Devs-Prep-Another-Testnet-for-Pectra-Upgrade?mtm_campaign=API-OFA,3/14/2025,17:42:23,1911.65,0.999980211,Neutral,0.60628736
Trump-backed World Liberty Financial buys AVAX and MNT for $4M as total portfolio losses reach $118M,Neutral,https://cryptopanic.com/news/20831805/Trump-backed-World-Liberty-Financial-buys-AVAX-and-MNT-for-4M-as-total-portfolio-losses-reach-118M?mtm_campaign=API-OFA,3/16/2025,9:24:40,1887,0.997616887,Neutral,0.752636492
Ethereum's Level Of Dominance Has Fallen To Lows Not Seen Since 2020,Negative,https://cryptopanic.com/news/20832056/Ethereums-Level-Of-Dominance-Has-Fallen-To-Lows-Not-Seen-Since-2020?mtm_campaign=API-OFA,3/16/2025,11:45:21,1887,0.999690533,Neutral,0.594355404
Trump-backed World Liberty Financial buys AVAX and MNT for $4M as total portfolio losses reach $118M,Neutral,https://cryptopanic.com/news/20831805/Trump-backed-World-Liberty-Financial-buys-AVAX-and-MNT-for-4M-as-total-portfolio-losses-reach-118M?mtm_campaign=API-OFA,3/16/2025,9:24:40,1887,0.997616887,Neutral,0.752636492
Ethereum's Level Of Dominance Has Fallen To Lows Not Seen Since 2020,Negative,https://cryptopanic.com/news/20832056/Ethereums-Level-Of-Dominance-Has-Fallen-To-Lows-Not-Seen-Since-2020?mtm_campaign=API-OFA,3/16/2025,11:45:21,1887,0.999690533,Neutral,0.594355404
North Korea becomes 3rd largest government Bitcoin holder after Bybit hack,Neutral,https://cryptopanic.com/news/20832745/North-Korea-becomes-3rd-largest-government-Bitcoin-holder-after-Bybit-hack?mtm_campaign=API-OFA,3/16/2025,16:45:13,1887,0.999983668,Neutral,0.640383959
Ethereum's Level Of Dominance Has Fallen To Lows Not Seen Since 2020,Negative,https://cryptopanic.com/news/20832056/Ethereums-Level-Of-Dominance-Has-Fallen-To-Lows-Not-Seen-Since-2020?mtm_campaign=API-OFA,3/16/2025,11:45:21,1887,0.999690533,Neutral,0.594355404
Trump-backed World Liberty Financial buys AVAX and MNT for $4M as total portfolio losses reach $118M,Neutral,https://cryptopanic.com/news/20831805/Trump-backed-World-Liberty-Financial-buys-AVAX-and-MNT-for-4M-as-total-portfolio-losses-reach-118M?mtm_campaign=API-OFA,3/16/2025,9:24:40,1887,0.997616887,Neutral,0.752636492
Ethereum's Level Of Dominance Has Fallen To Lows Not Seen Since 2020,Negative,https://cryptopanic.com/news/20832056/Ethereums-Level-Of-Dominance-Has-Fallen-To-Lows-Not-Seen-Since-2020?mtm_campaign=API-OFA,3/16/2025,11:45:21,2603.84,0.999690533,Neutral,0.594355404
Vitalik: An Ethereum Story to Launch Globally on April 15th,Neutral,https://cryptopanic.com/news/20836033/Vitalik-An-Ethereum-Story-to-Launch-Globally-on-April-15th?mtm_campaign=API-OFA,3/17/2025,13:37:47,1926.31,0.999208987,Bullish,0.57683295
Vitalik: An Ethereum Story to Launch Globally on April 15th,Neutral,https://cryptopanic.com/news/20836033/Vitalik-An-Ethereum-Story-to-Launch-Globally-on-April-15th?mtm_campaign=API-OFA,3/17/2025,13:37:47,1926.31,0.999208987,Bullish,0.57683295
Vitalik: An Ethereum Story to Launch Globally on April 15th,Neutral,https://cryptopanic.com/news/20836033/Vitalik-An-Ethereum-Story-to-Launch-Globally-on-April-15th?mtm_campaign=API-OFA,3/17/2025,13:37:47,1926.31,0.999208987,Bullish,0.57683295
Ethereum’s stablecoin dominance grows as USDC and USDT drive $850 billion in volume,Positive,https://cryptopanic.com/news/20843400/Ethereums-stablecoin-dominance-grows-as-USDC-and-USDT-drive-850-billion-in-volume?mtm_campaign=API-OFA,3/18/2025,23:01:04,1931.54,0.999999762,Neutral,0.556616664
Ethereum’s stablecoin dominance grows as USDC and USDT drive $850 billion in volume,Positive,https://cryptopanic.com/news/20843400/Ethereums-stablecoin-dominance-grows-as-USDC-and-USDT-drive-850-billion-in-volume?mtm_campaign=API-OFA,3/18/2025,23:01:04,1931.54,0.999999762,Neutral,0.556616664
ETH price prospects dim as Ethereum DEX volumes drop 34% in a week,Negative,https://cryptopanic.com/news/20843230/ETH-price-prospects-dim-as-Ethereum-DEX-volumes-drop-34-in-a-week?mtm_campaign=API-OFA,3/18/2025,21:55:00,1931.54,0.999964595,Neutral,0.989264548
Ethereum’s stablecoin dominance grows as USDC and USDT drive $850 billion in volume,Positive,https://cryptopanic.com/news/20843400/Ethereums-stablecoin-dominance-grows-as-USDC-and-USDT-drive-850-billion-in-volume?mtm_campaign=API-OFA,3/18/2025,23:01:04,1931.54,0.999999762,Neutral,0.556616664
83% of institutions plan to up crypto allocations in 2025: Coinbase,Neutral,https://cryptopanic.com/news/20842762/83-of-institutions-plan-to-up-crypto-allocations-in-2025-Coinbase?mtm_campaign=API-OFA,3/18/2025,19:29:31,1931.54,0.999997973,Neutral,0.88228035
Ethereum’s stablecoin dominance grows as USDC and USDT drive $850 billion in volume,Positive,https://cryptopanic.com/news/20843400/Ethereums-stablecoin-dominance-grows-as-USDC-and-USDT-drive-850-billion-in-volume?mtm_campaign=API-OFA,3/18/2025,23:01:04,2603.84,0.999999762,Neutral,0.556616664
83% of institutions plan to up crypto allocations in 2025: Coinbase,Neutral,https://cryptopanic.com/news/20842762/83-of-institutions-plan-to-up-crypto-allocations-in-2025-Coinbase?mtm_campaign=API-OFA,3/18/2025,19:29:31,2603.84,0.999997973,Neutral,0.88228035
XRP Soars 13% After SEC Lawsuit 'Victory': Can XRP Flip Ethereum?,Positive,https://cryptopanic.com/news/20847635/XRP-Soars-13-After-SEC-Lawsuit-Victory-Can-XRP-Flip-Ethereum?mtm_campaign=API-OFA,3/19/2025,17:26:20,2056.06,0.517079949,Neutral,0.751757801
XRP Vs. ETH: Bold Prediction Claims ‘Dying’ Ethereum’s Reign Is Ending,Neutral,https://cryptopanic.com/news/20844336/XRP-Vs-ETH-Bold-Prediction-Claims-Dying-Ethereums-Reign-Is-Ending?mtm_campaign=API-OFA,3/19/2025,6:00:54,2056.06,0.999890327,Neutral,0.621765494
"Staking for ether ETFs gathers steam as BlackRock talks up potential, NYSE files on behalf of Bitwise fund",Neutral,https://cryptopanic.com/news/20853506/Staking-for-ether-ETFs-gathers-steam-as-BlackRock-talks-up-potential-NYSE-files-on-behalf-of-Bitwise-fund?mtm_campaign=API-OFA,3/20/2025,20:04:47,1983.79,0.990901887,Neutral,0.777018964
"Staking for ether ETFs gathers steam as BlackRock talks up potential, NYSE files on behalf of Bitwise fund",Neutral,https://cryptopanic.com/news/20853506/Staking-for-ether-ETFs-gathers-steam-as-BlackRock-talks-up-potential-NYSE-files-on-behalf-of-Bitwise-fund?mtm_campaign=API-OFA,3/20/2025,20:04:47,1983.79,0.990901887,Neutral,0.777018964
Ethereum co-founder Joe Lubin on the future of Ethereum — DAS,Neutral,https://cryptopanic.com/news/20853331/Ethereum-co-founder-Joe-Lubin-on-the-future-of-Ethereum-DAS?mtm_campaign=API-OFA,3/20/2025,19:24:00,1983.79,0.999287665,Neutral,0.915015817
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",Positive,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,3/21/2025,23:04:15,1965.75,0.750924289,Neutral,0.820376337
Ethereum open interest hits new all-time high — Will ETH price follow?,Neutral,https://cryptopanic.com/news/20858365/Ethereum-open-interest-hits-new-all-time-high-Will-ETH-price-follow?mtm_campaign=API-OFA,3/21/2025,19:08:51,1965.75,0.95816499,Neutral,0.803826094
BlackRock Says Staking Could Boost Ethereum ETFs,Positive,https://cryptopanic.com/news/20856966/BlackRock-Says-Staking-Could-Boost-Ethereum-ETFs?mtm_campaign=API-OFA,3/21/2025,13:48:11,1965.75,0.999691606,Neutral,0.54938525
"High-throughput Ethereum scaler MegaETH debuts public testnet, hitting 20,000 TPS on day one",Positive,https://cryptopanic.com/news/20858960/High-throughput-Ethereum-scaler-MegaETH-debuts-public-testnet-hitting-20000-TPS-on-day-one?mtm_campaign=API-OFA,3/21/2025,23:04:15,1965.75,0.750924289,Neutral,0.820376337
Ethereum open interest hits new all-time high — Will ETH price follow?,Neutral,https://cryptopanic.com/news/20858365/Ethereum-open-interest-hits-new-all-time-high-Will-ETH-price-follow?mtm_campaign=API-OFA,3/21/2025,19:08:51,1965.75,0.95816499,Neutral,0.803826094
BlackRock Says Staking Could Boost Ethereum ETFs,Positive,https://cryptopanic.com/news/20856966/BlackRock-Says-Staking-Could-Boost-Ethereum-ETFs?mtm_campaign=API-OFA,3/21/2025,13:48:11,1965.75,0.999691606,Neutral,0.54938525
BlackRock Says Staking Could Boost Ethereum ETFs,Positive,https://cryptopanic.com/news/20856966/BlackRock-Says-Staking-Could-Boost-Ethereum-ETFs?mtm_campaign=API-OFA,3/21/2025,13:48:11,1965.75,0.999691606,Neutral,0.54938525
"BlackRock, NYSE push for staked ETH ETFs – Why it matters",Neutral,https://cryptopanic.com/news/20859354/BlackRock-NYSE-push-for-staked-ETH-ETFs-Why-it-matters?mtm_campaign=API-OFA,3/22/2025,3:00:25,1980.69,0.996595919,Neutral,0.924601793
"BlackRock, NYSE push for staked ETH ETFs – Why it matters",Neutral,https://cryptopanic.com/news/20859354/BlackRock-NYSE-push-for-staked-ETH-ETFs-Why-it-matters?mtm_campaign=API-OFA,3/22/2025,3:00:25,1980.69,0.996595919,Neutral,0.924601793
"BlackRock, NYSE push for staked ETH ETFs – Why it matters",Neutral,https://cryptopanic.com/news/20859354/BlackRock-NYSE-push-for-staked-ETH-ETFs-Why-it-matters?mtm_campaign=API-OFA,3/22/2025,3:00:25,1980.69,0.996595919,Neutral,0.924601793
Fidelity launches ‘OnChain’ Ethereum-tracked shares for Treasury money market fund,Neutral,https://cryptopanic.com/news/20863244/Fidelity-launches-OnChain-Ethereum-tracked-shares-for-Treasury-money-market-fund?mtm_campaign=API-OFA,3/23/2025,16:33:35,2005.99,0.999840498,Neutral,0.9577986
Fidelity Joins Tokenized Asset Race with Ethereum-Based Treasury Fund,Neutral,https://cryptopanic.com/news/20862772/Fidelity-Joins-Tokenized-Asset-Race-with-Ethereum-Based-Treasury-Fund?mtm_campaign=API-OFA,3/23/2025,13:15:00,2005.99,0.999995708,Neutral,0.578204513
ETH may reclaim $2.2K ‘macro range’ amid growing whale accumulation,Neutral,https://cryptopanic.com/news/20862813/ETH-may-reclaim-22K-macro-range-amid-growing-whale-accumulation?mtm_campaign=API-OFA,3/23/2025,13:28:47,2005.99,0.999099255,Neutral,0.978048563
Fidelity Joins Tokenized Asset Race with Ethereum-Based Treasury Fund,Neutral,https://cryptopanic.com/news/20862772/Fidelity-Joins-Tokenized-Asset-Race-with-Ethereum-Based-Treasury-Fund?mtm_campaign=API-OFA,3/23/2025,13:15:00,2005.99,0.999995708,Neutral,0.578204513
ETH may reclaim $2.2K ‘macro range’ amid growing whale accumulation,Neutral,https://cryptopanic.com/news/20862813/ETH-may-reclaim-22K-macro-range-amid-growing-whale-accumulation?mtm_campaign=API-OFA,3/23/2025,13:28:47,2005.99,0.999099255,Neutral,0.978048563
Trump-backed World Liberty Financial tests USD1 stablecoin on BNB Chain,Neutral,https://cryptopanic.com/news/20867823/Trump-backed-World-Liberty-Financial-tests-USD1-stablecoin-on-BNB-Chain?mtm_campaign=API-OFA,3/24/2025,18:17:44,2081.2,0.999998093,Neutral,0.904833257
Trump-backed World Liberty Financial tests USD1 stablecoin on BNB Chain,Neutral,https://cryptopanic.com/news/20867823/Trump-backed-World-Liberty-Financial-tests-USD1-stablecoin-on-BNB-Chain?mtm_campaign=API-OFA,3/24/2025,18:17:44,2081.2,0.999998093,Neutral,0.904833257
"Solana Rises As BlackRock Brings Its $1,700,000,000 Tokenized Treasury Fund to Ethereum Rival’s Chain",Neutral,https://cryptopanic.com/news/20873101/Solana-Rises-As-BlackRock-Brings-Its-1700000000-Tokenized-Treasury-Fund-to-Ethereum-Rivals-Chain?mtm_campaign=API-OFA,3/25/2025,18:05:47,2066.15,0.999992847,Neutral,0.643443584
BlackRock Brings BUIDL Fund onto Solana,Neutral,https://cryptopanic.com/news/20871567/BlackRock-Brings-BUIDL-Fund-onto-Solana?mtm_campaign=API-OFA,3/25/2025,13:18:15,2066.15,0.999936342,Bullish,0.56697911
BlackRock Brings BUIDL Fund onto Solana,Neutral,https://cryptopanic.com/news/20871567/BlackRock-Brings-BUIDL-Fund-onto-Solana?mtm_campaign=API-OFA,3/25/2025,13:18:15,2066.15,0.999936342,Bullish,0.56697911
"Solana Rises As BlackRock Brings Its $1,700,000,000 Tokenized Treasury Fund to Ethereum Rival’s Chain",Neutral,https://cryptopanic.com/news/20873101/Solana-Rises-As-BlackRock-Brings-Its-1700000000-Tokenized-Treasury-Fund-to-Ethereum-Rivals-Chain?mtm_campaign=API-OFA,3/25/2025,18:05:47,2066.15,0.999992847,Neutral,0.643443584
BlackRock Brings BUIDL Fund onto Solana,Neutral,https://cryptopanic.com/news/20871567/BlackRock-Brings-BUIDL-Fund-onto-Solana?mtm_campaign=API-OFA,3/25/2025,13:18:15,2603.84,0.999936342,Bullish,0.56697911
Ethereum Name Service Teams Up With Para Wallet to Simplify Registration,Neutral,https://cryptopanic.com/news/20878377/Ethereum-Name-Service-Teams-Up-With-Para-Wallet-to-Simplify-Registration?mtm_campaign=API-OFA,3/26/2025,17:30:58,2009.52,0.997391224,Neutral,0.66320473
Ethereum’s Final Pectra Test Goes Live on Hoodi Network,Neutral,https://cryptopanic.com/news/20878331/Ethereums-Final-Pectra-Test-Goes-Live-on-Hoodi-Network?mtm_campaign=API-OFA,3/26/2025,17:23:33,2009.52,0.999994278,Neutral,0.537660778
Ethereum’s Pectra Upgrade Enters Final Testing Phase – Will ETH Price Pump?,Neutral,https://cryptopanic.com/news/20878279/Ethereums-Pectra-Upgrade-Enters-Final-Testing-Phase-Will-ETH-Price-Pump?mtm_campaign=API-OFA,3/26/2025,17:09:03,2009.52,0.999881148,Bullish,0.550310254
Celo becomes Ethereum L2 with Optimism rollup implementation,Neutral,https://cryptopanic.com/news/20877737/Celo-becomes-Ethereum-L2-with-Optimism-rollup-implementation?mtm_campaign=API-OFA,3/26/2025,15:05:33,2009.52,0.999988317,Neutral,0.598802567
"USDC stablecoin supply surpasses all-time high, topping $60 billion market cap",Positive,https://cryptopanic.com/news/20875357/USDC-stablecoin-supply-surpasses-all-time-high-topping-60-billion-market-cap?mtm_campaign=API-OFA,3/26/2025,7:26:38,2009.52,1,Neutral,0.870140076
"Celo developers finalize Ethereum Layer 2 transition, nearly two years after initial proposal",Neutral,https://cryptopanic.com/news/20874905/Celo-developers-finalize-Ethereum-Layer-2-transition-nearly-two-years-after-initial-proposal?mtm_campaign=API-OFA,3/26/2025,4:31:54,2009.52,0.999996662,Neutral,0.917618632
Ethereum Name Service Teams Up With Para Wallet to Simplify Registration,Neutral,https://cryptopanic.com/news/20878377/Ethereum-Name-Service-Teams-Up-With-Para-Wallet-to-Simplify-Registration?mtm_campaign=API-OFA,3/26/2025,17:30:58,2009.52,0.997391224,Neutral,0.66320473
Ethereum’s Final Pectra Test Goes Live on Hoodi Network,Neutral,https://cryptopanic.com/news/20878331/Ethereums-Final-Pectra-Test-Goes-Live-on-Hoodi-Network?mtm_campaign=API-OFA,3/26/2025,17:23:33,2009.52,0.999994278,Neutral,0.537660778
Ethereum’s Pectra Upgrade Enters Final Testing Phase – Will ETH Price Pump?,Neutral,https://cryptopanic.com/news/20878279/Ethereums-Pectra-Upgrade-Enters-Final-Testing-Phase-Will-ETH-Price-Pump?mtm_campaign=API-OFA,3/26/2025,17:09:03,2009.52,0.999881148,Bullish,0.550310254
"USDC stablecoin supply surpasses all-time high, topping $60 billion market cap",Positive,https://cryptopanic.com/news/20875357/USDC-stablecoin-supply-surpasses-all-time-high-topping-60-billion-market-cap?mtm_campaign=API-OFA,3/26/2025,7:26:38,2009.52,1,Neutral,0.870140076
"USDC stablecoin supply surpasses all-time high, topping $60 billion market cap",Positive,https://cryptopanic.com/news/20875357/USDC-stablecoin-supply-surpasses-all-time-high-topping-60-billion-market-cap?mtm_campaign=API-OFA,3/26/2025,7:26:38,2009.52,1,Neutral,0.870140076
"USDC stablecoin supply surpasses all-time high, topping $60 billion market cap",Positive,https://cryptopanic.com/news/20875357/USDC-stablecoin-supply-surpasses-all-time-high-topping-60-billion-market-cap?mtm_campaign=API-OFA,3/26/2025,7:26:38,2603.84,1,Neutral,0.870140076
Ethereum’s Pectra Upgrade Moves Forward with Successful Hoodi Deployment,Positive,https://cryptopanic.com/news/20883626/Ethereums-Pectra-Upgrade-Moves-Forward-with-Successful-Hoodi-Deployment?mtm_campaign=API-OFA,3/27/2025,14:39:18,2003.66,0.991690516,Bullish,0.51403898
Cosmos devs test IBC protocol between Hub and Ethereum to boost interoperability,Positive,https://cryptopanic.com/news/20880880/Cosmos-devs-test-IBC-protocol-between-Hub-and-Ethereum-to-boost-interoperability?mtm_campaign=API-OFA,3/27/2025,8:02:58,2003.66,0.987017334,Neutral,0.908255339
Ethereum edges closer to deploying Pectra on mainnet with successful upgrade on Hoodi testnet,Positive,https://cryptopanic.com/news/20880416/Ethereum-edges-closer-to-deploying-Pectra-on-mainnet-with-successful-upgrade-on-Hoodi-testnet?mtm_campaign=API-OFA,3/27/2025,5:55:11,2003.66,0.999435365,Neutral,0.943675816
Ethereum’s Pectra Upgrade Moves Forward with Successful Hoodi Deployment,Positive,https://cryptopanic.com/news/20883626/Ethereums-Pectra-Upgrade-Moves-Forward-with-Successful-Hoodi-Deployment?mtm_campaign=API-OFA,3/27/2025,14:39:18,2003.66,0.991690516,Bullish,0.51403898
Cosmos devs test IBC protocol between Hub and Ethereum to boost interoperability,Positive,https://cryptopanic.com/news/20880880/Cosmos-devs-test-IBC-protocol-between-Hub-and-Ethereum-to-boost-interoperability?mtm_campaign=API-OFA,3/27/2025,8:02:58,2003.66,0.987017334,Neutral,0.908255339
Ethereum edges closer to deploying Pectra on mainnet with successful upgrade on Hoodi testnet,Positive,https://cryptopanic.com/news/20880416/Ethereum-edges-closer-to-deploying-Pectra-on-mainnet-with-successful-upgrade-on-Hoodi-testnet?mtm_campaign=API-OFA,3/27/2025,5:55:11,2003.66,0.999435365,Neutral,0.943675816
Cosmos devs test IBC protocol between Hub and Ethereum to boost interoperability,Positive,https://cryptopanic.com/news/20880880/Cosmos-devs-test-IBC-protocol-between-Hub-and-Ethereum-to-boost-interoperability?mtm_campaign=API-OFA,3/27/2025,8:02:58,2003.66,0.987017334,Neutral,0.908255339
Cosmos devs test IBC protocol between Hub and Ethereum to boost interoperability,Positive,https://cryptopanic.com/news/20880880/Cosmos-devs-test-IBC-protocol-between-Hub-and-Ethereum-to-boost-interoperability?mtm_campaign=API-OFA,3/27/2025,8:02:58,2603.84,0.987017334,Neutral,0.908255339
Ethereum Crashes 74% Against Bitcoin; Is Reversal Imminent?,Neutral,https://cryptopanic.com/news/20889271/Ethereum-Crashes-74-Against-Bitcoin-Is-Reversal-Imminent?mtm_campaign=API-OFA,3/28/2025,14:54:00,1896.9,0.887521684,Neutral,0.673391402
Ethereum Crashes 74% Against Bitcoin; Is Reversal Imminent?,Neutral,https://cryptopanic.com/news/20889271/Ethereum-Crashes-74-Against-Bitcoin-Is-Reversal-Imminent?mtm_campaign=API-OFA,3/28/2025,14:54:00,1896.9,0.887521684,Neutral,0.673391402
Ethereum whales face liquidation risk as ETH prices fluctuate,Negative,https://cryptopanic.com/news/20893295/Ethereum-whales-face-liquidation-risk-as-ETH-prices-fluctuate?mtm_campaign=API-OFA,3/29/2025,16:19:51,1828.08,0.917503297,Neutral,0.963233948
Is ETH Dead as an Investment? Analysts Weigh In,Negative,https://cryptopanic.com/news/20894586/Is-ETH-Dead-as-an-Investment-Analysts-Weigh-In?mtm_campaign=API-OFA,3/30/2025,6:14:12,1807.74,0.810955524,Neutral,0.760044754
Is ETH Dead as an Investment? Analysts Weigh In,Negative,https://cryptopanic.com/news/20894586/Is-ETH-Dead-as-an-Investment-Analysts-Weigh-In?mtm_campaign=API-OFA,3/30/2025,6:14:12,1807.74,0.810955524,Neutral,0.760044754
Ethereum-Bitcoin Ratio Drops To Five-Year Low,Negative,https://cryptopanic.com/news/20899546/Ethereum-Bitcoin-Ratio-Drops-To-Five-Year-Low?mtm_campaign=API-OFA,3/31/2025,15:04:17,1822.43,0.807877541,Neutral,0.535881221
Altcoins see inflows for first time in 5 weeks as ‘positive but cautious’ investors add $226 million to global crypto funds: CoinShares,Positive,https://cryptopanic.com/news/20898099/Altcoins-see-inflows-for-first-time-in-5-weeks-as-positive-but-cautious-investors-add-226-million-to-global-crypto-funds-CoinShares?mtm_campaign=API-OFA,3/31/2025,10:35:49,1822.43,0.980225623,Neutral,0.764524639
Vitalik Buterin introduces multi-proof security model amid Ethereum volatility,Positive,https://cryptopanic.com/news/20896708/Vitalik-Buterin-introduces-multi-proof-security-model-amid-Ethereum-volatility?mtm_campaign=API-OFA,3/31/2025,2:40:43,1822.43,0.995828211,Neutral,0.945883453
Ethereum-Bitcoin Ratio Drops To Five-Year Low,Negative,https://cryptopanic.com/news/20899546/Ethereum-Bitcoin-Ratio-Drops-To-Five-Year-Low?mtm_campaign=API-OFA,3/31/2025,15:04:17,1822.43,0.807877541,Neutral,0.535881221
Vitalik Buterin introduces multi-proof security model amid Ethereum volatility,Positive,https://cryptopanic.com/news/20896708/Vitalik-Buterin-introduces-multi-proof-security-model-amid-Ethereum-volatility?mtm_campaign=API-OFA,3/31/2025,2:40:43,1822.43,0.995828211,Neutral,0.945883453
Ethereum-Bitcoin Ratio Drops To Five-Year Low,Negative,https://cryptopanic.com/news/20899546/Ethereum-Bitcoin-Ratio-Drops-To-Five-Year-Low?mtm_campaign=API-OFA,3/31/2025,15:04:17,1822.43,0.807877541,Neutral,0.535881221
Altcoins see inflows for first time in 5 weeks as ‘positive but cautious’ investors add $226 million to global crypto funds: CoinShares,Positive,https://cryptopanic.com/news/20898099/Altcoins-see-inflows-for-first-time-in-5-weeks-as-positive-but-cautious-investors-add-226-million-to-global-crypto-funds-CoinShares?mtm_campaign=API-OFA,3/31/2025,10:35:49,1822.43,0.980225623,Neutral,0.764524639
Vitalik Buterin introduces multi-proof security model amid Ethereum volatility,Positive,https://cryptopanic.com/news/20896708/Vitalik-Buterin-introduces-multi-proof-security-model-amid-Ethereum-volatility?mtm_campaign=API-OFA,3/31/2025,2:40:43,1822.43,0.995828211,Neutral,0.945883453
Ethereum-Bitcoin Ratio Drops To Five-Year Low,Negative,https://cryptopanic.com/news/20899546/Ethereum-Bitcoin-Ratio-Drops-To-Five-Year-Low?mtm_campaign=API-OFA,3/31/2025,15:04:17,1822.43,0.807877541,Neutral,0.535881221
"Ethereum Surpasses Solana to Lead DEX Volume with $63 Billion in March 2025, Despite 8% Market Share and 18% Price Drop",Positive,https://cryptopanic.com/news/20906123/Ethereum-Surpasses-Solana-to-Lead-DEX-Volume-with-63-Billion-in-March-2025-Despite-8-Market-Share-and-18-Price-Drop?mtm_campaign=API-OFA,4/1/2025,20:35:07,1904.98,0.999998927,Neutral,0.582043588
Data Proves Ethereum Is Still the #1 Altcoin to Own,Neutral,https://cryptopanic.com/news/20905475/Data-Proves-Ethereum-Is-Still-the-1-Altcoin-to-Own?mtm_campaign=API-OFA,4/1/2025,17:28:12,1904.98,0.990660489,Bullish,0.618121922
"Ethereum prints 4 consecutive red monthly candles, but data points to an ETH/BTC bottom",Neutral,https://cryptopanic.com/news/20905882/Ethereum-prints-4-consecutive-red-monthly-candles-but-data-points-to-an-ETHBTC-bottom?mtm_campaign=API-OFA,4/1/2025,19:23:16,1904.98,0.999998808,Neutral,0.811707318
Data Proves Ethereum Is Still the #1 Altcoin to Own,Neutral,https://cryptopanic.com/news/20905475/Data-Proves-Ethereum-Is-Still-the-1-Altcoin-to-Own?mtm_campaign=API-OFA,4/1/2025,17:28:12,1904.98,0.990660489,Bullish,0.618121922
"Ethereum Surpasses Solana to Lead DEX Volume with $63 Billion in March 2025, Despite 8% Market Share and 18% Price Drop",Positive,https://cryptopanic.com/news/20906123/Ethereum-Surpasses-Solana-to-Lead-DEX-Volume-with-63-Billion-in-March-2025-Despite-8-Market-Share-and-18-Price-Drop?mtm_campaign=API-OFA,4/1/2025,20:35:07,1904.98,0.999998927,Neutral,0.582043588
"Ethereum prints 4 consecutive red monthly candles, but data points to an ETH/BTC bottom",Neutral,https://cryptopanic.com/news/20905882/Ethereum-prints-4-consecutive-red-monthly-candles-but-data-points-to-an-ETHBTC-bottom?mtm_campaign=API-OFA,4/1/2025,19:23:16,1904.98,0.999998808,Neutral,0.811707318
Data Proves Ethereum Is Still the #1 Altcoin to Own,Neutral,https://cryptopanic.com/news/20905475/Data-Proves-Ethereum-Is-Still-the-1-Altcoin-to-Own?mtm_campaign=API-OFA,4/1/2025,17:28:12,1904.98,0.990660489,Bullish,0.618121922
