post,sentiment,url,published_date,published_time,price_xrp
SEC Accepts Grayscale's Applications to Launch XRP and DOGE ETFs,neutral,https://cryptopanic.com/news/20695924/SEC-Accepts-Grayscales-Applications-to-Launch-XRP-and-DOGE-ETFs?mtm_campaign=API-OFA,02/14/2025,8:36:12,2.7384
"SEC Acknowledges Grayscale’s Filings to List XRP, Dogecoin ETFs",neutral,https://cryptopanic.com/news/20695377/SEC-Acknowledges-Grayscales-Filings-to-List-XRP-Dogecoin-ETFs?mtm_campaign=API-OFA,02/14/2025,5:38:36,2.7384
SEC acknowledges Grayscale’s XRP and DOGE ETF filings,neutral,https://cryptopanic.com/news/20695201/SEC-acknowledges-Grayscales-XRP-and-DOGE-ETF-filings?mtm_campaign=API-OFA,02/14/2025,4:25:10,2.7384
Is XRP Price on Track to Hit $110? Analyst Weigh In,neutral,https://cryptopanic.com/news/20693938/Is-XRP-Price-on-Track-to-Hit-110-Analyst-Weigh-In?mtm_campaign=API-OFA,02/13/2025,20:51:00,2.5599
SEC may acknowledge Grayscale XRP ETF filing as early as tomorrow,neutral,https://cryptopanic.com/news/20686757/SEC-may-acknowledge-Grayscale-XRP-ETF-filing-as-early-as-tomorrow?mtm_campaign=API-OFA,02/12/2025,15:30:48,2.4734
XRP ETF Filed with Nasdaq as Ripple-CFTC Ties Strengthen,neutral,https://cryptopanic.com/news/20680535/XRP-ETF-Filed-with-Nasdaq-as-Ripple-CFTC-Ties-Strengthen?mtm_campaign=API-OFA,02/11/2025,12:03:46,2.4131
"XRP Set for All-Time Highs if Weekly Close Tops This Level, Says Crypto Analyst",neutral,https://cryptopanic.com/news/20670542/XRP-Set-for-All-Time-Highs-if-Weekly-Close-Tops-This-Level-Says-Crypto-Analyst?mtm_campaign=API-OFA,02/09/2025,6:00:39,2.3928
"Ripple’s XRP Prepping For Ultra Bullish 1,500% Breakout As Spot XRP ETFs Gain Major Traction",neutral,https://cryptopanic.com/news/20668724/Ripples-XRP-Prepping-For-Ultra-Bullish-1500-Breakout-As-Spot-XRP-ETFs-Gain-Major-Traction?mtm_campaign=API-OFA,02/08/2025,12:38:45,2.419
XRP and Solana race toward the next crypto ETF approval,neutral,https://cryptopanic.com/news/20665473/XRP-and-Solana-race-toward-the-next-crypto-ETF-approval?mtm_campaign=API-OFA,02/07/2025,16:39:38,2.3968
XRP Price Falls Following Ledger Downtime as Open Interest Hits Monthly Low,neutral,https://cryptopanic.com/news/20655156/XRP-Price-Falls-Following-Ledger-Downtime-as-Open-Interest-Hits-Monthly-Low?mtm_campaign=API-OFA,02/05/2025,19:54:26,2.381
Ripple Investigates XRP Ledger Halt as Consensus Issues Arise,neutral,https://cryptopanic.com/news/20652462/Ripple-Investigates-XRP-Ledger-Halt-as-Consensus-Issues-Arise?mtm_campaign=API-OFA,02/05/2025,11:04:41,2.381
XRP Ledger resumes activity after second outage in three months,neutral,https://cryptopanic.com/news/20652184/XRP-Ledger-resumes-activity-after-second-outage-in-three-months?mtm_campaign=API-OFA,02/05/2025,10:11:14,2.381
"XRP Ledger Temporarily Halts Block Production, Ripple CTO Cites Possible Network 'Drift'",neutral,https://cryptopanic.com/news/20650416/XRP-Ledger-Temporarily-Halts-Block-Production-Ripple-CTO-Cites-Possible-Network-Drift?mtm_campaign=API-OFA,02/05/2025,0:28:29,2.381
Ethereum Dominance Hits 5 Year Low — Analysts Say It’s the Perfect Entry Point,positive,https://cryptopanic.com/news/21123915/Ethereum-Dominance-Hits-5-Year-Low-Analysts-Say-Its-the-Perfect-Entry-Point?mtm_campaign=API-OFA,04/17/2025,9:35:09,2.0673
"Crypto Market Rises Sharply, but Experts Warn it May Be a ‘Dead Cat Bounce’",negative,https://cryptopanic.com/news/21019505/Crypto-Market-Rises-Sharply-but-Experts-Warn-it-May-Be-a-Dead-Cat-Bounce?mtm_campaign=API-OFA,04/10/2025,15:12:43,1.9658
XRP Will Overtake Ethereum By 2028: Standard Chartered,neutral,https://cryptopanic.com/news/20964396/XRP-Will-Overtake-Ethereum-By-2028-Standard-Chartered?mtm_campaign=API-OFA,04/08/2025,12:26:16,1.7963
XRP network activity collapses 65%,neutral,https://cryptopanic.com/news/20928911/XRP-network-activity-collapses-65?mtm_campaign=API-OFA,04/04/2025,19:23:00,2.1302
Kraken Announces Support for RLUSD As Stablecoin Integrates Into Ripple’s Payment’s Network,neutral,https://cryptopanic.com/news/20912158/Kraken-Announces-Support-for-RLUSD-As-Stablecoin-Integrates-Into-Ripples-Payments-Network?mtm_campaign=API-OFA,04/02/2025,18:41:22,2.0237
"XRP Might Drop Below $2, Goldman Sachs Makes Key Fed Prediction, Ripple's RLUSD Flips Major Stablecoins in This Key Metric: Crypto News Digest by U.Today",neutral,https://cryptopanic.com/news/20905184/XRP-Might-Drop-Below-2-Goldman-Sachs-Makes-Key-Fed-Prediction-Ripples-RLUSD-Flips-Major-Stablecoins-in-This-Key-Metric-Crypto-News-Digest-by-UToday?mtm_campaign=API-OFA,04/01/2025,16:22:00,2.1387
"Grayscale files S-3 to turn Bitcoin, Ether, XRP, and ADA large cap fund into a spot ETF",positive,https://cryptopanic.com/news/20904739/Grayscale-files-S-3-to-turn-Bitcoin-Ether-XRP-and-ADA-large-cap-fund-into-a-spot-ETF?mtm_campaign=API-OFA,04/01/2025,14:56:04,2.1387
Altcoins see inflows for first time in 5 weeks as ‘positive but cautious’ investors add $226 million to global crypto funds: CoinShares,positive,https://cryptopanic.com/news/20898099/Altcoins-see-inflows-for-first-time-in-5-weeks-as-positive-but-cautious-investors-add-226-million-to-global-crypto-funds-CoinShares?mtm_campaign=API-OFA,03/31/2025,10:35:49,2.0899
1.15 Million XRP in 24 Hours: $3 Ready?,positive,https://cryptopanic.com/news/20876448/115-Million-XRP-in-24-Hours-3-Ready?mtm_campaign=API-OFA,03/26/2025,11:14:00,2.3494
XRP ETF Incoming? Analyst Says Ripple’s Legal Win Changes Everything,positive,https://cryptopanic.com/news/20875440/XRP-ETF-Incoming-Analyst-Says-Ripples-Legal-Win-Changes-Everything?mtm_campaign=API-OFA,03/26/2025,7:53:52,2.3494
XRP Price Prediction: Analysts now eye $10 by 2030,neutral,https://cryptopanic.com/news/20869129/XRP-Price-Prediction-Analysts-now-eye-10-by-2030?mtm_campaign=API-OFA,03/25/2025,0:34:59,2.4492
Ripple Co-Founder Funds Space Station with XRP Profits,neutral,https://cryptopanic.com/news/20864705/Ripple-Co-Founder-Funds-Space-Station-with-XRP-Profits?mtm_campaign=API-OFA,03/24/2025,7:22:12,2.4501
XRP ETF Approval Date Nears,neutral,https://cryptopanic.com/news/20862671/XRP-ETF-Approval-Date-Nears?mtm_campaign=API-OFA,03/23/2025,12:30:00,2.4393
$10 XRP Price Closer Than Ever As Ripple Emerges Victorious in SEC Lawsuit,neutral,https://cryptopanic.com/news/20853500/10-XRP-Price-Closer-Than-Ever-As-Ripple-Emerges-Victorious-in-SEC-Lawsuit?mtm_campaign=API-OFA,03/20/2025,20:02:34,2.4361
Wall Street Legend Predicts Massive XRP Market Boom with this Surprising Milkshake Theory,positive,https://cryptopanic.com/news/20850872/Wall-Street-Legend-Predicts-Massive-XRP-Market-Boom-with-this-Surprising-Milkshake-Theory?mtm_campaign=API-OFA,03/20/2025,11:00:48,2.4361
SEC withdraws appeal in legal dispute against Ripple,neutral,https://cryptopanic.com/news/20850179/SEC-withdraws-appeal-in-legal-dispute-against-Ripple?mtm_campaign=API-OFA,03/20/2025,8:45:15,2.4361
"Ripple CEO downplays IPO plans after Ripple-SEC case ends, XRP surges",neutral,https://cryptopanic.com/news/20848156/Ripple-CEO-downplays-IPO-plans-after-Ripple-SEC-case-ends-XRP-surges?mtm_campaign=API-OFA,03/19/2025,19:37:59,2.5469
SEC dropping Ripple case is ‘final exclamation mark’ that XRP is not a security — John Deaton,neutral,https://cryptopanic.com/news/20847503/SEC-dropping-Ripple-case-is-final-exclamation-mark-that-XRP-is-not-a-security-John-Deaton?mtm_campaign=API-OFA,03/19/2025,17:08:56,2.5469
Can XRP Hit $70? This analyst says its coming soon,neutral,https://cryptopanic.com/news/20843797/Can-XRP-Hit-70-This-analyst-says-its-coming-soon?mtm_campaign=API-OFA,03/19/2025,0:09:54,2.5469
XRP Stumbles—But Analysts Still See A Path To $70,neutral,https://cryptopanic.com/news/20843334/XRP-StumblesBut-Analysts-Still-See-A-Path-To-70?mtm_campaign=API-OFA,03/18/2025,22:30:56,2.2851
Proposal on SEC website suggests XRP as a strategic asset for US financial system,neutral,https://cryptopanic.com/news/20832665/Proposal-on-SEC-website-suggests-XRP-as-a-strategic-asset-for-US-financial-system?mtm_campaign=API-OFA,03/16/2025,16:07:53,2.2938
Ripple moves $465 million of March’s sell reserve; Will XRP price suffer?,neutral,https://cryptopanic.com/news/20826963/Ripple-moves-465-million-of-Marchs-sell-reserve-Will-XRP-price-suffer?mtm_campaign=API-OFA,03/14/2025,15:03:22,2.3564
"BlackRock will file for both Solana and XRP ETFs, Nate Geraci",neutral,https://cryptopanic.com/news/20826694/BlackRock-will-file-for-both-Solana-and-XRP-ETFs-Nate-Geraci?mtm_campaign=API-OFA,03/14/2025,14:13:32,2.3564
SEC website posts document naming XRP as a strategic asset for U.S.,neutral,https://cryptopanic.com/news/20825816/SEC-website-posts-document-naming-XRP-as-a-strategic-asset-for-US?mtm_campaign=API-OFA,03/14/2025,11:14:55,2.3564
"SEC May Reclassify XRP as Commodity, Boosting Market Hopes",neutral,https://cryptopanic.com/news/20825054/SEC-May-Reclassify-XRP-as-Commodity-Boosting-Market-Hopes?mtm_campaign=API-OFA,03/14/2025,7:59:58,2.3564
XRP News: New Proposal Seeks SEC Settlement with Ripple by Classifying XRP as a Payment Network,neutral,https://cryptopanic.com/news/20824386/XRP-News-New-Proposal-Seeks-SEC-Settlement-with-Ripple-by-Classifying-XRP-as-a-Payment-Network?mtm_campaign=API-OFA,03/14/2025,3:22:53,2.3564
"$1,500,000,000,000 Asset Manager Franklin Templeton Files for XRP ETF",neutral,https://cryptopanic.com/news/20823024/1500000000000-Asset-Manager-Franklin-Templeton-Files-for-XRP-ETF?mtm_campaign=API-OFA,03/13/2025,18:45:44,2.2527
SEC considers classifying XRP as commodity in settlement talks with Ripple,neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,03/13/2025,17:53:17,2.2527
Ripple Lawsuit News Now: Unpacking the SEC-Ripple Settlement Strategy,neutral,https://cryptopanic.com/news/20819675/Ripple-Lawsuit-News-Now-Unpacking-the-SEC-Ripple-Settlement-Strategy?mtm_campaign=API-OFA,03/13/2025,8:19:01,2.2527
Franklin Templeton becomes largest asset manager to file for Solana ETF,neutral,https://cryptopanic.com/news/20816042/Franklin-Templeton-becomes-largest-asset-manager-to-file-for-Solana-ETF?mtm_campaign=API-OFA,03/12/2025,14:12:39,2.2396
XRP Transfers Explode Past $5 Billion In 24 Hours as Wallets Surge over 600%,negative,https://cryptopanic.com/news/20801260/XRP-Transfers-Explode-Past-5-Billion-In-24-Hours-as-Wallets-Surge-over-600?mtm_campaign=API-OFA,03/09/2025,14:05:10,2.1387
"US Government Will Only Buy Bitcoin, Not ETH, XRP, SOL and ADA",neutral,https://cryptopanic.com/news/20784163/US-Government-Will-Only-Buy-Bitcoin-Not-ETH-XRP-SOL-and-ADA?mtm_campaign=API-OFA,03/05/2025,12:10:39,2.4998
"XRP: 24% Retrace is Mind-Blowing, Ethereum (ETH) Looks Even Worse Than Before, Cardano (ADA): Biggest Volatility Surge in Years",negative,https://cryptopanic.com/news/20781362/XRP-24-Retrace-is-Mind-Blowing-Ethereum-ETH-Looks-Even-Worse-Than-Before-Cardano-ADA-Biggest-Volatility-Surge-in-Years?mtm_campaign=API-OFA,03/05/2025,0:01:00,2.4998
Cardano Rallies 43% In Seven Days: What Is Going On With ADA?,neutral,https://cryptopanic.com/news/20780686/Cardano-Rallies-43-In-Seven-Days-What-Is-Going-On-With-ADA?mtm_campaign=API-OFA,03/04/2025,20:03:51,2.4543
Why XRP and ADA don’t deserve to be on Trump’s Strategic Crypto Reserve,neutral,https://cryptopanic.com/news/20774538/Why-XRP-and-ADA-dont-deserve-to-be-on-Trumps-Strategic-Crypto-Reserve?mtm_campaign=API-OFA,03/03/2025,18:14:25,2.3873
Ripple prepares for what could be a $795 million XRP sale in March,neutral,https://cryptopanic.com/news/20772891/Ripple-prepares-for-what-could-be-a-795-million-XRP-sale-in-March?mtm_campaign=API-OFA,03/03/2025,12:50:39,2.3873
"Stablecoin presence key to blockchain legitimacy, says ZachXBT",neutral,https://cryptopanic.com/news/20772748/Stablecoin-presence-key-to-blockchain-legitimacy-says-ZachXBT?mtm_campaign=API-OFA,03/03/2025,12:24:43,2.3873
"Trump Announces US Crypto Reserve with XRP, Solana, and Cardano",neutral,https://cryptopanic.com/news/20771576/Trump-Announces-US-Crypto-Reserve-with-XRP-Solana-and-Cardano?mtm_campaign=API-OFA,03/03/2025,8:27:59,2.3873
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,03/02/2025,19:31:52,2.9396
Ripple’s XRP Bulls Show Dominant Presence as Bears Get Rejected at Major 2017-2018 Support Level,neutral,https://cryptopanic.com/news/20769950/Ripples-XRP-Bulls-Show-Dominant-Presence-as-Bears-Get-Rejected-at-Major-2017-2018-Support-Level?mtm_campaign=API-OFA,03/02/2025,19:10:28,2.9396
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",neutral,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,03/02/2025,17:20:45,2.9396
"Breaking: Trump Announces U.S. Crypto Strategic Reserve Including XRP, SOL, ADA, BTC, and ETH",neutral,https://cryptopanic.com/news/20769643/Breaking-Trump-Announces-US-Crypto-Strategic-Reserve-Including-XRP-SOL-ADA-BTC-and-ETH?mtm_campaign=API-OFA,03/02/2025,17:11:40,2.9396
Trump says Bitcoin and Ethereum will be included in US crypto reserve,neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,03/02/2025,16:46:55,2.9396
"President Trump announces a Crypto Strategic Reserve that includes XRP, SOL, and ADA",neutral,https://cryptopanic.com/news/20769419/President-Trump-announces-a-Crypto-Strategic-Reserve-that-includes-XRP-SOL-and-ADA?mtm_campaign=API-OFA,03/02/2025,16:01:45,2.9396
"Trump directs working group to ‘move forward’ on SOL, XRP, and ADA Crypto Strategic Reserve",neutral,https://cryptopanic.com/news/20769328/Trump-directs-working-group-to-move-forward-on-SOL-XRP-and-ADA-Crypto-Strategic-Reserve?mtm_campaign=API-OFA,03/02/2025,15:47:32,2.9396
"Trump to include XRP, SOL, and ADA in US crypto reserve",neutral,https://cryptopanic.com/news/20769299/Trump-to-include-XRP-SOL-and-ADA-in-US-crypto-reserve?mtm_campaign=API-OFA,03/02/2025,15:34:02,2.9396
XRP News Today: Ripple now partners up with BDACS,neutral,https://cryptopanic.com/news/20759718/XRP-News-Today-Ripple-now-partners-up-with-BDACS?mtm_campaign=API-OFA,02/28/2025,0:39:05,2.1453
"Ripple Partners with BDACS for Institutional Custody of XRP and RLUSD in South Korea on February 27, 2025",neutral,https://cryptopanic.com/news/20758604/Ripple-Partners-with-BDACS-for-Institutional-Custody-of-XRP-and-RLUSD-in-South-Korea-on-February-27-2025?mtm_campaign=API-OFA,02/27/2025,19:30:36,2.1985
XRP Ledger unveils institutional DeFi roadmap,neutral,https://cryptopanic.com/news/20752603/XRP-Ledger-unveils-institutional-DeFi-roadmap?mtm_campaign=API-OFA,02/26/2025,18:46:49,2.1982
WisdomTree XRP ETF countdown begins as Federal Register publishes filing,neutral,https://cryptopanic.com/news/20752580/WisdomTree-XRP-ETF-countdown-begins-as-Federal-Register-publishes-filing?mtm_campaign=API-OFA,02/26/2025,18:43:37,2.1982
Buy alert: XRP set for a major price move,neutral,https://cryptopanic.com/news/20735901/Buy-alert-XRP-set-for-a-major-price-move?mtm_campaign=API-OFA,02/23/2025,12:46:07,2.5763
Litecoin (LTC) on Verge of Repeating XRP and Solana (SOL) Success,positive,https://cryptopanic.com/news/20728220/Litecoin-LTC-on-Verge-of-Repeating-XRP-and-Solana-SOL-Success?mtm_campaign=API-OFA,02/21/2025,9:36:00,2.5721
Are XRP and DOGE Preparing for 25% Price Moves?,neutral,https://cryptopanic.com/news/20724564/Are-XRP-and-DOGE-Preparing-for-25-Price-Moves?mtm_campaign=API-OFA,02/20/2025,15:10:57,2.6877
First-Ever Spot XRP ETF Gets Green Light in Brazil,neutral,https://cryptopanic.com/news/20721057/First-Ever-Spot-XRP-ETF-Gets-Green-Light-in-Brazil?mtm_campaign=API-OFA,02/20/2025,0:16:02,2.6877
SEC seeks public comments for WisdomTree’s proposal for an XRP ETF,neutral,https://cryptopanic.com/news/20720082/SEC-seeks-public-comments-for-WisdomTrees-proposal-for-an-XRP-ETF?mtm_campaign=API-OFA,02/19/2025,19:13:22,2.7378
World’s first XRP spot ETF to debut on Brazil’s leading stock exchange,positive,https://cryptopanic.com/news/20719659/Worlds-first-XRP-spot-ETF-to-debut-on-Brazils-leading-stock-exchange?mtm_campaign=API-OFA,02/19/2025,17:28:08,2.7378
"Donald Trump turns pro-XRP, shares Ripple Labs reports on Truth Social",neutral,https://cryptopanic.com/news/20718580/Donald-Trump-turns-pro-XRP-shares-Ripple-Labs-reports-on-Truth-Social?mtm_campaign=API-OFA,02/19/2025,14:00:23,2.7378
SEC Acknowledges Bitwise XRP ETF Filing—Approval Within Reach?,neutral,https://cryptopanic.com/news/20718471/SEC-Acknowledges-Bitwise-XRP-ETF-FilingApproval-Within-Reach?mtm_campaign=API-OFA,02/19/2025,13:49:10,2.7378
SEC acknowledges Bitwise Spot XRP ETF filing,neutral,https://cryptopanic.com/news/20714471/SEC-acknowledges-Bitwise-Spot-XRP-ETF-filing?mtm_campaign=API-OFA,02/18/2025,19:10:43,2.5628
SEC acknowledges spot XRP ETF filing from Bitwise,neutral,https://cryptopanic.com/news/20714430/SEC-acknowledges-spot-XRP-ETF-filing-from-Bitwise?mtm_campaign=API-OFA,02/18/2025,19:06:28,2.5628
First-ever XRP ETF to launch in US Tuesday; spot ETF still pending,neutral,https://cryptopanic.com/news/20955819/First-ever-XRP-ETF-to-launch-in-US-Tuesday-spot-ETF-still-pending?mtm_campaign=API-OFA,04/08/2025,3:09:02,1.7963
SEC dropping Ripple case is ‘final exclamation mark’ that XRP is not a security — John Deaton,neutral,https://cryptopanic.com/news/20847503/SEC-dropping-Ripple-case-is-final-exclamation-mark-that-XRP-is-not-a-security-John-Deaton?mtm_campaign=API-OFA,03/19/2025,17:08:56,2.5469
83% of institutions plan to up crypto allocations in 2025: Coinbase,neutral,https://cryptopanic.com/news/20842762/83-of-institutions-plan-to-up-crypto-allocations-in-2025-Coinbase?mtm_campaign=API-OFA,03/18/2025,19:29:31,2.2851
SEC website posts document naming XRP as a strategic asset for U.S.,neutral,https://cryptopanic.com/news/20825816/SEC-website-posts-document-naming-XRP-as-a-strategic-asset-for-US?mtm_campaign=API-OFA,03/14/2025,11:14:55,2.3564
"SEC May Reclassify XRP as Commodity, Boosting Market Hopes",neutral,https://cryptopanic.com/news/20825054/SEC-May-Reclassify-XRP-as-Commodity-Boosting-Market-Hopes?mtm_campaign=API-OFA,03/14/2025,7:59:58,2.3564
SEC considers classifying XRP as commodity in settlement talks with Ripple,neutral,https://cryptopanic.com/news/20822779/SEC-considers-classifying-XRP-as-commodity-in-settlement-talks-with-Ripple?mtm_campaign=API-OFA,03/13/2025,17:53:17,2.2527
"BTC, ETH, XRP Lead $334.99M Crypto Liquidation, Key Trends To Watch?",neutral,https://cryptopanic.com/news/20801596/BTC-ETH-XRP-Lead-33499M-Crypto-Liquidation-Key-Trends-To-Watch?mtm_campaign=API-OFA,03/09/2025,16:36:00,2.1387
"Trump Announces US Crypto Reserve with XRP, Solana, and Cardano",neutral,https://cryptopanic.com/news/20771576/Trump-Announces-US-Crypto-Reserve-with-XRP-Solana-and-Cardano?mtm_campaign=API-OFA,03/03/2025,8:27:59,2.3873
"President Trump Reveals U.S. Crypto Reserve Bombshell — Sending BTC, ETH, Ripple’s XRP, Solana, And Cardano Rocketing",neutral,https://cryptopanic.com/news/20770004/President-Trump-Reveals-US-Crypto-Reserve-Bombshell-Sending-BTC-ETH-Ripples-XRP-Solana-And-Cardano-Rocketing?mtm_campaign=API-OFA,03/02/2025,19:31:52,2.9396
"Bitcoin Will Explode Over $120,000 on Monday as ETF Demand Skyrockets Amid Trump’s BTC Reserve Announcement",neutral,https://cryptopanic.com/news/20769674/Bitcoin-Will-Explode-Over-120000-on-Monday-as-ETF-Demand-Skyrockets-Amid-Trumps-BTC-Reserve-Announcement?mtm_campaign=API-OFA,03/02/2025,17:20:45,2.9396
Trump says Bitcoin and Ethereum will be included in US crypto reserve,neutral,https://cryptopanic.com/news/20769569/Trump-says-Bitcoin-and-Ethereum-will-be-included-in-US-crypto-reserve?mtm_campaign=API-OFA,03/02/2025,16:46:55,2.9396
"President Trump announces a Crypto Strategic Reserve that includes XRP, SOL, and ADA",neutral,https://cryptopanic.com/news/20769419/President-Trump-announces-a-Crypto-Strategic-Reserve-that-includes-XRP-SOL-and-ADA?mtm_campaign=API-OFA,03/02/2025,16:01:45,2.9396
"Trump to include XRP, SOL, and ADA in US crypto reserve",neutral,https://cryptopanic.com/news/20769299/Trump-to-include-XRP-SOL-and-ADA-in-US-crypto-reserve?mtm_campaign=API-OFA,03/02/2025,15:34:02,2.9396
Coinbase CEO’s Hot Take: Bitcoin Is Basically A ‘Meme Coin’,positive,https://cryptopanic.com/news/20731508/Coinbase-CEOs-Hot-Take-Bitcoin-Is-Basically-A-Meme-Coin?mtm_campaign=API-OFA,02/21/2025,21:00:16,2.5721
"XRP Set To Outshine Gold? Analyst Predicts 1,000% Surge",neutral,https://cryptopanic.com/news/20709274/XRP-Set-To-Outshine-Gold-Analyst-Predicts-1000-Surge?mtm_campaign=API-OFA,02/17/2025,21:00:12,2.6599
SEC formally accepts Grayscale XRP and Dogecoin ETF applications for review,neutral,https://cryptopanic.com/news/20694557/SEC-formally-accepts-Grayscale-XRP-and-Dogecoin-ETF-applications-for-review?mtm_campaign=API-OFA,02/14/2025,0:09:53,2.7384
Top Altcoins ETF Approvals: Bloomberg’s Predictions,positive,https://cryptopanic.com/news/20678889/Top-Altcoins-ETF-Approvals-Bloombergs-Predictions?mtm_campaign=API-OFA,02/11/2025,6:18:37,2.4131
"XRP ETF With Lowest Chance for Approval, Says Bloomberg Analyst",neutral,https://cryptopanic.com/news/20677956/XRP-ETF-With-Lowest-Chance-for-Approval-Says-Bloomberg-Analyst?mtm_campaign=API-OFA,02/11/2025,0:21:57,2.4131
Ripple prepares for what could be an $800 million XRP dump in February,neutral,https://cryptopanic.com/news/20648232/Ripple-prepares-for-what-could-be-an-800-million-XRP-dump-in-February?mtm_campaign=API-OFA,02/04/2025,15:03:15,2.5274
"CME website hints at XRP, SOL futures debut in February",neutral,https://cryptopanic.com/news/20590634/CME-website-hints-at-XRP-SOL-futures-debut-in-February?mtm_campaign=API-OFA,01/22/2025,21:21:45,3.1803
XRP Chart Pattern Predicts Breakout to $4; What's Next?,neutral,https://cryptopanic.com/news/20571435/XRP-Chart-Pattern-Predicts-Breakout-to-4-Whats-Next?mtm_campaign=API-OFA,01/19/2025,9:50:00,2.9587
Trump Considers US-based Crypto Reserve,neutral,https://cryptopanic.com/news/20559663/Trump-Considers-US-based-Crypto-Reserve?mtm_campaign=API-OFA,01/16/2025,11:55:47,3.2451
"JPMorgan Chase Predicts XRP, Solana ETFs Will Attract up to $8,000,000,000 Each: Report",neutral,https://cryptopanic.com/news/20550095/JPMorgan-Chase-Predicts-XRP-Solana-ETFs-Will-Attract-up-to-8000000000-Each-Report?mtm_campaign=API-OFA,01/14/2025,19:05:24,2.6673
Crypto ETFs to Boom in 2025: 50 Launches Predicted,neutral,https://cryptopanic.com/news/20541759/Crypto-ETFs-to-Boom-in-2025-50-Launches-Predicted?mtm_campaign=API-OFA,01/13/2025,8:41:14,2.5232
"Bank Of America’s XRP Adoption: Impact, Price Prediction",neutral,https://cryptopanic.com/news/20534737/Bank-Of-Americas-XRP-Adoption-Impact-Price-Prediction?mtm_campaign=API-OFA,01/10/2025,23:42:00,2.3414
XRP Forms First Bearish Signal of 2025: Details,positive,https://cryptopanic.com/news/20528075/XRP-Forms-First-Bearish-Signal-of-2025-Details?mtm_campaign=API-OFA,01/09/2025,15:58:00,2.2722
XRP Investors Cash Out $1.6 Billion Amid Market Stagnation,neutral,https://cryptopanic.com/news/20520534/XRP-Investors-Cash-Out-16-Billion-Amid-Market-Stagnation?mtm_campaign=API-OFA,01/08/2025,8:34:08,2.3731
Ripple's RLUSD Stablecoin Explodes With 106% Growth in Volumes: Details,neutral,https://cryptopanic.com/news/20482034/Ripples-RLUSD-Stablecoin-Explodes-With-106-Growth-in-Volumes-Details?mtm_campaign=API-OFA,12/28/2024,15:15:00,2.1843
Ripple’s CEO Now Highlights XRP’s Potential Across Industries,neutral,https://cryptopanic.com/news/20461649/Ripples-CEO-Now-Highlights-XRPs-Potential-Across-Industries?mtm_campaign=API-OFA,12/22/2024,20:59:59,2.2031
XRP Bounce Back To $2.45: Experts Say It May Never Fall Below $2 Again,neutral,https://cryptopanic.com/news/20406512/XRP-Bounce-Back-To-245-Experts-Say-It-May-Never-Fall-Below-2-Again?mtm_campaign=API-OFA,12/14/2024,11:50:39,2.4005
Ripple to sell $500 million as XRP struggles in the 4th position by market cap,neutral,https://cryptopanic.com/news/20398759/Ripple-to-sell-500-million-as-XRP-struggles-in-the-4th-position-by-market-cap?mtm_campaign=API-OFA,12/12/2024,14:49:07,2.3384
SEC Weighs Solana and XRP ETFs: Altcoin Boom Ahead?,neutral,https://cryptopanic.com/news/20362778/SEC-Weighs-Solana-and-XRP-ETFs-Altcoin-Boom-Ahead?mtm_campaign=API-OFA,12/04/2024,9:15:42,2.3574
$100 billion WisdomTree files for XRP ETF via Delaware trust,neutral,https://cryptopanic.com/news/20317532/100-billion-WisdomTree-files-for-XRP-ETF-via-Delaware-trust?mtm_campaign=API-OFA,11/25/2024,16:39:10,1.4142
"Trump Presidency Unlocked $800 Billion for US Crypto, Says Ripple CEO as ADA, SOL, and XRP Eye Golden Era",positive,https://cryptopanic.com/news/20255748/Trump-Presidency-Unlocked-800-Billion-for-US-Crypto-Says-Ripple-CEO-as-ADA-SOL-and-XRP-Eye-Golden-Era?mtm_campaign=API-OFA,11/17/2024,8:53:09,1.0543
Canary Capital Files for First Hedera (HBAR) Spot ETF with SEC: Will It Be Approved?,neutral,https://cryptopanic.com/news/20222172/Canary-Capital-Files-for-First-Hedera-HBAR-Spot-ETF-with-SEC-Will-It-Be-Approved?mtm_campaign=API-OFA,11/12/2024,19:20:06,0.704
Institutional Demand Drives Confidence for Ripple's XRP,neutral,https://cryptopanic.com/news/20148037/Institutional-Demand-Drives-Confidence-for-Ripples-XRP?mtm_campaign=API-OFA,11/02/2024,16:10:57,0.5103
